Date,Site.ID,Daily.Mean.PM2.5.Concentration
2/16/2021,360050112,8.5
2/17/2021,360050112,6.9
2/18/2021,360050112,5.6
2/19/2021,360050112,6.4
2/20/2021,360050112,9.2
2/21/2021,360050112,8.4
2/22/2021,360050112,7.9
2/23/2021,360050112,10.7
2/24/2021,360050112,7.8
2/25/2021,360050112,6.2
2/26/2021,360050112,6.6
2/27/2021,360050112,5.3
2/28/2021,360050112,7.4
3/1/2021,360050112,4.6
3/2/2021,360050112,3.9
3/3/2021,360050112,8
3/4/2021,360050112,5.7
3/5/2021,360050112,3.3
3/6/2021,360050112,4.6
3/7/2021,360050112,4.3
3/8/2021,360050112,5.3
3/9/2021,360050112,9.6
3/10/2021,360050112,9.8
3/11/2021,360050112,19.1
3/12/2021,360050112,6.2
3/13/2021,360050112,3.6
3/14/2021,360050112,4.3
3/15/2021,360050112,3.6
3/16/2021,360050112,4.8
3/17/2021,360050112,6.3
3/18/2021,360050112,4.1
3/19/2021,360050112,4.9
3/21/2021,360050112,12.4
3/22/2021,360050112,10.1
3/23/2021,360050112,5.6
3/24/2021,360050112,4.3
3/25/2021,360050112,7.2
3/26/2021,360050112,7.1
3/27/2021,360050112,4.7
3/28/2021,360050112,3.2
3/29/2021,360050112,4.2
3/30/2021,360050112,5.8
3/31/2021,360050112,5.6
4/1/2021,360050112,3.3
4/2/2021,360050112,3
4/3/2021,360050112,3.6
4/4/2021,360050112,7.2
4/5/2021,360050112,5.7
