Date,Site.ID,Daily.Max.8.hour.Ozone.Concentration
3/31/2022,360050110,0.032
4/1/2022,360050110,0.033
4/2/2022,360050110,0.038
4/3/2022,360050110,0.031
4/4/2022,360050110,0.036
4/5/2022,360050110,0.041
4/6/2022,360050110,0.032
4/7/2022,360050110,0.037
4/8/2022,360050110,0.043
4/9/2022,360050110,0.035
4/10/2022,360050110,0.031
4/11/2022,360050110,0.029
4/12/2022,360050110,0.043
4/13/2022,360050110,0.041
4/14/2022,360050110,0.037
4/15/2022,360050110,0.049
4/16/2022,360050110,0.044
4/17/2022,360050110,0.031
4/18/2022,360050110,0.028
4/19/2022,360050110,0.031
4/20/2022,360050110,0.035
4/21/2022,360050110,0.034
4/22/2022,360050110,0.044
4/23/2022,360050110,0.038
4/24/2022,360050110,0.044
4/25/2022,360050110,0.032
4/26/2022,360050110,0.027
4/27/2022,360050110,0.032
4/28/2022,360050110,0.043
4/29/2022,360050110,0.045
4/30/2022,360050110,0.044
5/1/2022,360050110,0.047
5/2/2022,360050110,0.036
5/3/2022,360050110,0.037
5/4/2022,360050110,0.019
5/5/2022,360050110,0.04
5/6/2022,360050110,0.045
5/7/2022,360050110,0.035
5/8/2022,360050110,0.04
5/9/2022,360050110,0.052
5/10/2022,360050110,0.05
5/11/2022,360050110,0.048
5/12/2022,360050110,0.035
5/13/2022,360050110,0.021
5/14/2022,360050110,0.02
5/15/2022,360050110,0.031
5/16/2022,360050110,0.037
5/17/2022,360050110,0.045
5/18/2022,360050110,0.042
5/19/2022,360050110,0.028
5/20/2022,360050110,0.029
5/21/2022,360050110,0.058
5/22/2022,360050110,0.052
5/23/2022,360050110,0.036
5/24/2022,360050110,0.031
5/25/2022,360050110,0.025
5/26/2022,360050110,0.033
5/27/2022,360050110,0.023
5/28/2022,360050110,0.035
5/29/2022,360050110,0.045
5/30/2022,360050110,0.057
5/31/2022,360050110,0.051
6/1/2022,360050110,0.027
6/2/2022,360050110,0.037
6/3/2022,360050110,0.041
6/4/2022,360050110,0.054
6/5/2022,360050110,0.052
6/6/2022,360050110,0.06
6/7/2022,360050110,0.036
6/8/2022,360050110,0.056
6/9/2022,360050110,0.046
6/10/2022,360050110,0.041
6/11/2022,360050110,0.04
6/12/2022,360050110,0.044
6/13/2022,360050110,0.058
6/14/2022,360050110,0.042
6/15/2022,360050110,0.042
6/16/2022,360050110,0.029
6/21/2022,360050110,0.042
6/22/2022,360050110,0.04
6/23/2022,360050110,0.04
6/24/2022,360050110,0.045
6/25/2022,360050110,0.062
6/26/2022,360050110,0.058
6/27/2022,360050110,0.023
6/28/2022,360050110,0.04
6/29/2022,360050110,0.061
6/30/2022,360050110,0.061
7/1/2022,360050110,0.068
7/2/2022,360050110,0.055
7/3/2022,360050110,0.043
7/4/2022,360050110,0.044
7/5/2022,360050110,0.046
7/6/2022,360050110,0.042
7/7/2022,360050110,0.038
7/8/2022,360050110,0.042
7/9/2022,360050110,0.042
7/10/2022,360050110,0.042
7/11/2022,360050110,0.05
7/12/2022,360050110,0.055
7/13/2022,360050110,0.064
7/14/2022,360050110,0.054
7/15/2022,360050110,0.047
7/16/2022,360050110,0.057
7/17/2022,360050110,0.051
7/18/2022,360050110,0.03
7/19/2022,360050110,0.053
7/20/2022,360050110,0.071
7/21/2022,360050110,0.051
7/22/2022,360050110,0.061
7/23/2022,360050110,0.068
7/24/2022,360050110,0.061
7/25/2022,360050110,0.035
7/26/2022,360050110,0.044
7/27/2022,360050110,0.055
7/28/2022,360050110,0.054
7/29/2022,360050110,0.046
7/30/2022,360050110,0.034
