"","Date","Source","Site.ID","POC","Daily.Max.8.hour.Ozone.Concentration","UNITS","DAILY_AQI_VALUE","Site.Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"649","10/21/2021","AQS",360050133,1,0.048,"ppm",44,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"650","10/22/2021","AQS",360050133,1,0.025,"ppm",23,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"651","10/23/2021","AQS",360050133,1,0.023,"ppm",21,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"652","10/25/2021","AQS",360050133,1,0.036,"ppm",33,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"653","10/26/2021","AQS",360050133,1,0.026,"ppm",24,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"654","10/27/2021","AQS",360050133,1,0.025,"ppm",23,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"655","10/28/2021","AQS",360050133,1,0.024,"ppm",22,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"656","10/29/2021","AQS",360050133,1,0.035,"ppm",32,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"657","10/30/2021","AQS",360050133,1,0.029,"ppm",27,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"658","11/01/2021","AQS",360050133,1,0.028,"ppm",26,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"659","11/02/2021","AQS",360050133,1,0.026,"ppm",24,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"660","11/03/2021","AQS",360050133,1,0.024,"ppm",22,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
