Date,Site.ID,Daily.Max.1.hour.NO2.Concentration
11/23/2021,360050133,15
11/24/2021,360050133,28.8
11/25/2021,360050133,32.5
11/26/2021,360050133,34.9
11/27/2021,360050133,13.6
11/28/2021,360050133,31.7
11/29/2021,360050133,23
11/30/2021,360050133,33.6
12/1/2021,360050133,40.2
12/2/2021,360050133,33.4
12/3/2021,360050133,14.2
12/4/2021,360050133,31.9
12/5/2021,360050133,26.1
12/6/2021,360050133,34.2
12/7/2021,360050133,22.8
12/8/2021,360050133,35.3
12/9/2021,360050133,35.3
12/10/2021,360050133,39.3
12/11/2021,360050133,32
12/12/2021,360050133,16.7
12/13/2021,360050133,32.2
12/14/2021,360050133,33.3
12/15/2021,360050133,32.1
12/16/2021,360050133,35.8
12/17/2021,360050133,28.6
12/18/2021,360050133,18.1
12/19/2021,360050133,16.1
12/20/2021,360050133,38.5
12/21/2021,360050133,32.9
12/22/2021,360050133,27.7
12/23/2021,360050133,16.9
12/24/2021,360050133,18.8
12/25/2021,360050133,28
12/26/2021,360050133,8.2
12/27/2021,360050133,19.3
12/28/2021,360050133,24.1
12/29/2021,360050133,19.1
12/30/2021,360050133,23.7
12/31/2021,360050133,25.7
1/1/2023,360050110,34.1
1/2/2023,360050110,36.7
1/3/2023,360050110,39
1/4/2023,360050110,35.8
1/5/2023,360050110,19.3
1/6/2023,360050110,25.2
1/7/2023,360050110,19
1/8/2023,360050110,33.6
1/9/2023,360050110,26
1/10/2023,360050110,33.8
1/11/2023,360050110,31.2
1/12/2023,360050110,32.5
1/13/2023,360050110,36.4
1/14/2023,360050110,11.6
1/15/2023,360050110,13.5
1/16/2023,360050110,20.5
1/17/2023,360050110,51.2
1/18/2023,360050110,35.2
1/19/2023,360050110,26.6
1/20/2023,360050110,24.2
1/21/2023,360050110,12.9
1/22/2023,360050110,25.7
1/23/2023,360050110,19.6
1/24/2023,360050110,23.3
1/25/2023,360050110,33.9
1/26/2023,360050110,16.7
1/27/2023,360050110,26.4
1/28/2023,360050110,33.6
1/29/2023,360050110,44.9
1/30/2023,360050110,41.9
2/1/2023,360050110,23.8
2/2/2023,360050110,46.5
2/3/2023,360050110,24.9
2/4/2023,360050110,23.4
2/5/2023,360050110,55.6
2/6/2023,360050110,53
2/7/2023,360050110,36.2
2/8/2023,360050110,36.7
2/9/2023,360050110,78.8
2/10/2023,360050110,45.3
2/11/2023,360050110,40.8
2/12/2023,360050110,41.8
2/13/2023,360050110,26
2/14/2023,360050110,52.3
2/15/2023,360050110,47.9
2/16/2023,360050110,55
2/17/2023,360050110,37.3
2/18/2023,360050110,23.6
2/19/2023,360050110,43.4
2/20/2023,360050110,41.6
2/21/2023,360050110,40.3
2/22/2023,360050110,31.9
2/23/2023,360050110,27.3
2/24/2023,360050110,27.7
2/25/2023,360050110,35.4
2/26/2023,360050110,43.2
2/27/2023,360050110,30.8
3/1/2023,360050110,42.1
3/2/2023,360050110,37.1
3/3/2023,360050110,33.3
3/4/2023,360050110,15.8
3/5/2023,360050110,18.7
3/6/2023,360050110,23.4
3/7/2023,360050110,26.3
3/8/2023,360050110,15
3/9/2023,360050110,20.1
3/10/2023,360050110,33.4
3/11/2023,360050110,21.3
3/12/2023,360050110,20.8
3/13/2023,360050110,25.6
3/14/2023,360050110,16.3
3/15/2023,360050110,12
3/16/2023,360050110,64.7
3/17/2023,360050110,52.2
3/18/2023,360050110,20.4
3/19/2023,360050110,21
3/20/2023,360050110,39.9
3/21/2023,360050110,49
3/22/2023,360050110,49.6
3/24/2023,360050110,26.7
3/25/2023,360050110,15.1
3/26/2023,360050110,30.6
3/27/2023,360050110,69.3
3/28/2023,360050110,19.4
3/29/2023,360050110,24.7
3/30/2023,360050110,22
4/1/2023,360050110,29.6
4/2/2023,360050110,14
4/3/2023,360050110,46.7
4/4/2023,360050110,40.1
4/5/2023,360050110,15
4/6/2023,360050110,47.5
4/7/2023,360050110,9.1
4/8/2023,360050110,29.9
4/9/2023,360050110,37
4/10/2023,360050110,47.5
4/11/2023,360050110,38.6
4/12/2023,360050110,36.4
4/13/2023,360050110,35.6
4/14/2023,360050110,40.6
4/15/2023,360050110,29.1
4/16/2023,360050110,21
4/17/2023,360050110,29.7
4/18/2023,360050110,19
4/19/2023,360050110,37
4/20/2023,360050110,28.8
4/21/2023,360050110,46.9
4/22/2023,360050110,14.3
4/23/2023,360050110,15.2
4/24/2023,360050110,25.4
4/25/2023,360050110,30.1
4/26/2023,360050110,32.8
4/27/2023,360050110,28.2
4/28/2023,360050110,19.9
4/29/2023,360050110,11.6
5/1/2023,360050110,16.6
5/2/2023,360050110,29.9
5/3/2023,360050110,16.4
5/4/2023,360050110,35.1
5/5/2023,360050110,40.7
5/6/2023,360050110,40.9
5/7/2023,360050110,27.1
5/8/2023,360050110,14.4
5/9/2023,360050110,30.6
5/10/2023,360050110,40.2
5/11/2023,360050110,27.8
5/12/2023,360050110,30.8
5/13/2023,360050110,23.8
5/14/2023,360050110,8.2
5/15/2023,360050110,17.2
5/16/2023,360050110,25
5/17/2023,360050110,10.4
5/18/2023,360050110,24.1
5/19/2023,360050110,27.5
5/20/2023,360050110,24.2
5/21/2023,360050110,28.1
5/22/2023,360050110,21.6
5/23/2023,360050110,19.3
5/24/2023,360050110,39.2
5/25/2023,360050110,14.4
5/26/2023,360050110,34.7
5/27/2023,360050110,22.3
5/28/2023,360050110,26.9
5/29/2023,360050110,35
5/30/2023,360050110,18.4
6/1/2023,360050110,41.1
6/2/2023,360050110,42.5
6/3/2023,360050110,12.9
6/4/2023,360050110,7.2
6/5/2023,360050110,9.7
6/6/2023,360050110,22.9
6/7/2023,360050110,15.9
6/8/2023,360050110,24.2
6/9/2023,360050110,19.6
6/10/2023,360050110,32.6
6/11/2023,360050110,34.4
6/12/2023,360050110,18.1
6/13/2023,360050110,15.4
6/14/2023,360050110,31.9
6/15/2023,360050110,16.7
6/16/2023,360050110,40.9
6/17/2023,360050110,9.9
6/18/2023,360050110,13.1
6/19/2023,360050110,11.9
6/20/2023,360050110,11.9
6/21/2023,360050110,7.7
6/22/2023,360050110,9.2
6/23/2023,360050110,21.2
6/24/2023,360050110,26.5
6/25/2023,360050110,27.6
6/26/2023,360050110,29.5
6/27/2023,360050110,31.8
6/28/2023,360050110,21.9
6/29/2023,360050110,44.3
6/30/2023,360050110,41
7/1/2023,360050110,24.9
7/2/2023,360050110,23.9
7/3/2023,360050110,15.4
7/4/2023,360050110,26.5
7/5/2023,360050110,28.4
7/6/2023,360050110,35.1
7/7/2023,360050110,23.5
7/8/2023,360050110,20.9
7/9/2023,360050110,14.5
7/10/2023,360050110,15.9
7/11/2023,360050110,16.3
7/12/2023,360050110,33.3
7/13/2023,360050110,32.4
7/14/2023,360050110,20.2
7/15/2023,360050110,38
7/16/2023,360050110,24.7
7/17/2023,360050110,21.9
7/18/2023,360050110,31.2
7/19/2023,360050110,29.6
